ITL125CD,ITL125NM,ITL225CD,ITL225NM,ITL325CD,ITL325NM,LAU125CD,LAU125NM,LAD24CD,LAD24NM,,,,,,,
TLE,Yorkshire and The Humber,TLE4,West Yorkshire,TLE44,Calderdale and Kirklees,E08000033,Calderdale,E08000033,Calderdale,,,,,,,
TLE,Yorkshire and The Humber,TLE4,West Yorkshire,TLE44,Calderdale and Kirklees,E08000034,Kirklees,E08000034,Kirklees,,,,,,,
TLE,Yorkshire and The Humber,TLE4,West Yorkshire,TLE45,Wakefield,E08000036,Wakefield,E08000036,Wakefield,,,,,,,
TLF,East Midlands (England),TLF1,Derbyshire and Nottinghamshire,TLF11,Derby,E06000015,Derby,E06000015,Derby,,,,,,,
TLF,East Midlands (England),TLF1,Derbyshire and Nottinghamshire,TLF12,East Derbyshire,E07000033,Bolsover,E07000033,Bolsover,,,,,,,
TLF,East Midlands (England),TLF1,Derbyshire and Nottinghamshire,TLF12,East Derbyshire,E07000034,Chesterfield,E07000034,Chesterfield,,,,,,,
TLF,East Midlands (England),TLF1,Derbyshire and Nottinghamshire,TLF12,East Derbyshire,E07000038,North East Derbyshire,E07000038,North East Derbyshire,,,,,,,
TLF,East Midlands (England),TLF1,Derbyshire and Nottinghamshire,TLF13,South and West Derbyshire,E07000032,Amber Valley,E07000032,Amber Valley,,,,,,,
TLF,East Midlands (England),TLF1,Derbyshire and Nottinghamshire,TLF13,South and West Derbyshire,E07000035,Derbyshire Dales,E07000035,Derbyshire Dales,,,,,,,
TLF,East Midlands (England),TLF1,Derbyshire and Nottinghamshire,TLF13,South and West Derbyshire,E07000036,Erewash,E07000036,Erewash,,,,,,,
TLF,East Midlands (England),TLF1,Derbyshire and Nottinghamshire,TLF13,South and West Derbyshire,E07000037,High Peak,E07000037,High Peak,,,,,,,
TLF,East Midlands (England),TLF1,Derbyshire and Nottinghamshire,TLF13,South and West Derbyshire,E07000039,South Derbyshire,E07000039,South Derbyshire,,,,,,,
TLF,East Midlands (England),TLF1,Derbyshire and Nottinghamshire,TLF14,Nottingham,E06000018,Nottingham,E06000018,Nottingham,,,,,,,
TLF,East Midlands (England),TLF1,Derbyshire and Nottinghamshire,TLF15,North Nottinghamshire,E07000170,Ashfield,E07000170,Ashfield,,,,,,,
TLF,East Midlands (England),TLF1,Derbyshire and Nottinghamshire,TLF15,North Nottinghamshire,E07000171,Bassetlaw,E07000171,Bassetlaw,,,,,,,
TLF,East Midlands (England),TLF1,Derbyshire and Nottinghamshire,TLF15,North Nottinghamshire,E07000174,Mansfield,E07000174,Mansfield,,,,,,,
TLF,East Midlands (England),TLF1,Derbyshire and Nottinghamshire,TLF15,North Nottinghamshire,E07000175,Newark and Sherwood,E07000175,Newark and Sherwood,,,,,,,
TLF,East Midlands (England),TLF1,Derbyshire and Nottinghamshire,TLF16,South Nottinghamshire,E07000172,Broxtowe,E07000172,Broxtowe,,,,,,,
TLF,East Midlands (England),TLF1,Derbyshire and Nottinghamshire,TLF16,South Nottinghamshire,E07000173,Gedling,E07000173,Gedling,,,,,,,
TLF,East Midlands (England),TLF1,Derbyshire and Nottinghamshire,TLF16,South Nottinghamshire,E07000176,Rushcliffe,E07000176,Rushcliffe,,,,,,,
TLF,East Midlands (England),TLF2,"Leicestershire, Rutland and Northamptonshire",TLF21,Leicester,E06000016,Leicester,E06000016,Leicester,,,,,,,
TLF,East Midlands (England),TLF2,"Leicestershire, Rutland and Northamptonshire",TLF22,Leicestershire CC and Rutland,E06000017,Rutland,E06000017,Rutland,,,,,,,
TLF,East Midlands (England),TLF2,"Leicestershire, Rutland and Northamptonshire",TLF22,Leicestershire CC and Rutland,E07000129,Blaby,E07000129,Blaby,,,,,,,
TLF,East Midlands (England),TLF2,"Leicestershire, Rutland and Northamptonshire",TLF22,Leicestershire CC and Rutland,E07000130,Charnwood,E07000130,Charnwood,,,,,,,
TLF,East Midlands (England),TLF2,"Leicestershire, Rutland and Northamptonshire",TLF22,Leicestershire CC and Rutland,E07000131,Harborough,E07000131,Harborough,,,,,,,
TLF,East Midlands (England),TLF2,"Leicestershire, Rutland and Northamptonshire",TLF22,Leicestershire CC and Rutland,E07000132,Hinckley and Bosworth,E07000132,Hinckley and Bosworth,,,,,,,
TLF,East Midlands (England),TLF2,"Leicestershire, Rutland and Northamptonshire",TLF22,Leicestershire CC and Rutland,E07000133,Melton,E07000133,Melton,,,,,,,
TLF,East Midlands (England),TLF2,"Leicestershire, Rutland and Northamptonshire",TLF22,Leicestershire CC and Rutland,E07000134,North West Leicestershire,E07000134,North West Leicestershire,,,,,,,
TLF,East Midlands (England),TLF2,"Leicestershire, Rutland and Northamptonshire",TLF22,Leicestershire CC and Rutland,E07000135,Oadby and Wigston,E07000135,Oadby and Wigston,,,,,,,
TLF,East Midlands (England),TLF2,"Leicestershire, Rutland and Northamptonshire",TLF24,West Northamptonshire,E06000062,West Northamptonshire,E06000062,West Northamptonshire,,,,,,,
TLF,East Midlands (England),TLF2,"Leicestershire, Rutland and Northamptonshire",TLF25,North Northamptonshire,E06000061,North Northamptonshire,E06000061,North Northamptonshire,,,,,,,
TLF,East Midlands (England),TLF3,Lincolnshire,TLF30,Lincolnshire CC,E07000136,Boston,E07000136,Boston,,,,,,,
TLF,East Midlands (England),TLF3,Lincolnshire,TLF30,Lincolnshire CC,E07000137,East Lindsey,E07000137,East Lindsey,,,,,,,
TLF,East Midlands (England),TLF3,Lincolnshire,TLF30,Lincolnshire CC,E07000138,Lincoln,E07000138,Lincoln,,,,,,,
TLF,East Midlands (England),TLF3,Lincolnshire,TLF30,Lincolnshire CC,E07000139,North Kesteven,E07000139,North Kesteven,,,,,,,
TLF,East Midlands (England),TLF3,Lincolnshire,TLF30,Lincolnshire CC,E07000140,South Holland,E07000140,South Holland,,,,,,,
TLF,East Midlands (England),TLF3,Lincolnshire,TLF30,Lincolnshire CC,E07000141,South Kesteven,E07000141,South Kesteven,,,,,,,
TLF,East Midlands (England),TLF3,Lincolnshire,TLF30,Lincolnshire CC,E07000142,West Lindsey,E07000142,West Lindsey,,,,,,,
TLG,West Midlands (England),TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG11,"Herefordshire, County of",E06000019,"Herefordshire, County of",E06000019,"Herefordshire, County of",,,,,,,
TLG,West Midlands (England),TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG12,Worcestershire CC,E07000234,Bromsgrove,E07000234,Bromsgrove,,,,,,,
TLG,West Midlands (England),TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG12,Worcestershire CC,E07000235,Malvern Hills,E07000235,Malvern Hills,,,,,,,
TLG,West Midlands (England),TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG12,Worcestershire CC,E07000236,Redditch,E07000236,Redditch,,,,,,,
TLG,West Midlands (England),TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG12,Worcestershire CC,E07000237,Worcester,E07000237,Worcester,,,,,,,
TLG,West Midlands (England),TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG12,Worcestershire CC,E07000238,Wychavon,E07000238,Wychavon,,,,,,,
TLG,West Midlands (England),TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG12,Worcestershire CC,E07000239,Wyre Forest,E07000239,Wyre Forest,,,,,,,
TLG,West Midlands (England),TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG13,Warwickshire CC,E07000218,North Warwickshire,E07000218,North Warwickshire,,,,,,,
TLG,West Midlands (England),TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG13,Warwickshire CC,E07000219,Nuneaton and Bedworth,E07000219,Nuneaton and Bedworth,,,,,,,
TLG,West Midlands (England),TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG13,Warwickshire CC,E07000220,Rugby,E07000220,Rugby,,,,,,,
TLG,West Midlands (England),TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG13,Warwickshire CC,E07000221,Stratford-on-Avon,E07000221,Stratford-on-Avon,,,,,,,
TLG,West Midlands (England),TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG13,Warwickshire CC,E07000222,Warwick,E07000222,Warwick,,,,,,,
TLG,West Midlands (England),TLG2,Shropshire and Staffordshire,TLG21,Telford and Wrekin,E06000020,Telford and Wrekin,E06000020,Telford and Wrekin,,,,,,,
TLG,West Midlands (England),TLG2,Shropshire and Staffordshire,TLG22,Shropshire,E06000051,Shropshire,E06000051,Shropshire,,,,,,,
TLG,West Midlands (England),TLG2,Shropshire and Staffordshire,TLG23,Stoke-on-Trent,E06000021,Stoke-on-Trent,E06000021,Stoke-on-Trent,,,,,,,
TLG,West Midlands (England),TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,E07000192,Cannock Chase,E07000192,Cannock Chase,,,,,,,
TLG,West Midlands (England),TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,E07000193,East Staffordshire,E07000193,East Staffordshire,,,,,,,
TLG,West Midlands (England),TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,E07000194,Lichfield,E07000194,Lichfield,,,,,,,
TLG,West Midlands (England),TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,E07000195,Newcastle-under-Lyme,E07000195,Newcastle-under-Lyme,,,,,,,
TLG,West Midlands (England),TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,E07000196,South Staffordshire,E07000196,South Staffordshire,,,,,,,
TLG,West Midlands (England),TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,E07000197,Stafford,E07000197,Stafford,,,,,,,
TLG,West Midlands (England),TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,E07000198,Staffordshire Moorlands,E07000198,Staffordshire Moorlands,,,,,,,
TLG,West Midlands (England),TLG2,Shropshire and Staffordshire,TLG24,Staffordshire CC,E07000199,Tamworth,E07000199,Tamworth,,,,,,,
TLG,West Midlands (England),TLG3,West Midlands,TLG31,Birmingham,E08000025,Birmingham,E08000025,Birmingham,,,,,,,
TLG,West Midlands (England),TLG3,West Midlands,TLG32,Solihull,E08000029,Solihull,E08000029,Solihull,,,,,,,
TLG,West Midlands (England),TLG3,West Midlands,TLG33,Coventry,E08000026,Coventry,E08000026,Coventry,,,,,,,
TLG,West Midlands (England),TLG3,West Midlands,TLG36,Dudley,E08000027,Dudley,E08000027,Dudley,,,,,,,
TLG,West Midlands (England),TLG3,West Midlands,TLG37,Sandwell,E08000028,Sandwell,E08000028,Sandwell,,,,,,,
TLG,West Midlands (England),TLG3,West Midlands,TLG38,Walsall,E08000030,Walsall,E08000030,Walsall,,,,,,,
TLG,West Midlands (England),TLG3,West Midlands,TLG39,Wolverhampton,E08000031,Wolverhampton,E08000031,Wolverhampton,,,,,,,
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH21,Luton,E06000032,Luton,E06000032,Luton,,,,,,,
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH24,Bedford,E06000055,Bedford,E06000055,Bedford,,,,,,,
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH25,Central Bedfordshire,E06000056,Central Bedfordshire,E06000056,Central Bedfordshire,,,,,,,
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH26,North and East Hertfordshire,E07000095,Broxbourne,E07000095,Broxbourne,,,,,,,
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH26,North and East Hertfordshire,E07000099,North Hertfordshire,E07000099,North Hertfordshire,,,,,,,
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH26,North and East Hertfordshire,E07000241,Welwyn Hatfield,E07000241,Welwyn Hatfield,,,,,,,
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH26,North and East Hertfordshire,E07000242,East Hertfordshire,E07000242,East Hertfordshire,,,,,,,
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH26,North and East Hertfordshire,E07000243,Stevenage,E07000243,Stevenage,,,,,,,
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH27,South West Hertfordshire,E07000096,Dacorum,E07000096,Dacorum,,,,,,,
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH27,South West Hertfordshire,E07000098,Hertsmere,E07000098,Hertsmere,,,,,,,
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH27,South West Hertfordshire,E07000102,Three Rivers,E07000102,Three Rivers,,,,,,,
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH27,South West Hertfordshire,E07000103,Watford,E07000103,Watford,,,,,,,
TLH,East (England),TLH2,Bedfordshire and Hertfordshire,TLH27,South West Hertfordshire,E07000240,St Albans,E07000240,St Albans,,,,,,,
TLH,East (England),TLH3,Essex,TLH31,Southend-on-Sea,E06000033,Southend-on-Sea,E06000033,Southend-on-Sea,,,,,,,
TLH,East (England),TLH3,Essex,TLH32,Thurrock,E06000034,Thurrock,E06000034,Thurrock,,,,,,,
TLH,East (England),TLH3,Essex,TLH34,Essex Haven Gateway,E07000067,Braintree,E07000067,Braintree,,,,,,,
TLH,East (England),TLH3,Essex,TLH34,Essex Haven Gateway,E07000071,Colchester,E07000071,Colchester,,,,,,,
TLH,East (England),TLH3,Essex,TLH34,Essex Haven Gateway,E07000076,Tendring,E07000076,Tendring,,,,,,,
TLH,East (England),TLH3,Essex,TLH35,West Essex,E07000072,Epping Forest,E07000072,Epping Forest,,,,,,,
TLH,East (England),TLH3,Essex,TLH35,West Essex,E07000073,Harlow,E07000073,Harlow,,,,,,,
TLH,East (England),TLH3,Essex,TLH35,West Essex,E07000077,Uttlesford,E07000077,Uttlesford,,,,,,,
TLH,East (England),TLH3,Essex,TLH36,Heart of Essex,E07000068,Brentwood,E07000068,Brentwood,,,,,,,
TLH,East (England),TLH3,Essex,TLH36,Heart of Essex,E07000070,Chelmsford,E07000070,Chelmsford,,,,,,,
TLH,East (England),TLH3,Essex,TLH36,Heart of Essex,E07000074,Maldon,E07000074,Maldon,,,,,,,
TLH,East (England),TLH3,Essex,TLH37,Essex Thames Gateway,E07000066,Basildon,E07000066,Basildon,,,,,,,
TLH,East (England),TLH3,Essex,TLH37,Essex Thames Gateway,E07000069,Castle Point,E07000069,Castle Point,,,,,,,
TLH,East (England),TLH3,Essex,TLH37,Essex Thames Gateway,E07000075,Rochford,E07000075,Rochford,,,,,,,
TLH,East (England),TLH4,Cambridgeshire and Peterborough,TLH41,Peterborough,E06000031,Peterborough,E06000031,Peterborough,,,,,,,
TLH,East (England),TLH4,Cambridgeshire and Peterborough,TLH42,Cambridgeshire CC,E07000008,Cambridge,E07000008,Cambridge,,,,,,,
TLH,East (England),TLH4,Cambridgeshire and Peterborough,TLH42,Cambridgeshire CC,E07000009,East Cambridgeshire,E07000009,East Cambridgeshire,,,,,,,
TLH,East (England),TLH4,Cambridgeshire and Peterborough,TLH42,Cambridgeshire CC,E07000010,Fenland,E07000010,Fenland,,,,,,,
TLH,East (England),TLH4,Cambridgeshire and Peterborough,TLH42,Cambridgeshire CC,E07000011,Huntingdonshire,E07000011,Huntingdonshire,,,,,,,
TLH,East (England),TLH4,Cambridgeshire and Peterborough,TLH42,Cambridgeshire CC,E07000012,South Cambridgeshire,E07000012,South Cambridgeshire,,,,,,,
TLH,East (England),TLH5,Norfolk,TLH51,Norwich and East Norfolk,E07000144,Broadland,E07000144,Broadland,,,,,,,
TLH,East (England),TLH5,Norfolk,TLH51,Norwich and East Norfolk,E07000145,Great Yarmouth,E07000145,Great Yarmouth,,,,,,,
TLH,East (England),TLH5,Norfolk,TLH51,Norwich and East Norfolk,E07000148,Norwich,E07000148,Norwich,,,,,,,
TLH,East (England),TLH5,Norfolk,TLH52,North and West Norfolk,E07000146,King's Lynn and West Norfolk,E07000146,King's Lynn and West Norfolk,,,,,,,
TLH,East (England),TLH5,Norfolk,TLH52,North and West Norfolk,E07000147,North Norfolk,E07000147,North Norfolk,,,,,,,
TLH,East (England),TLH5,Norfolk,TLH53,Breckland and South Norfolk,E07000143,Breckland,E07000143,Breckland,,,,,,,
TLH,East (England),TLH5,Norfolk,TLH53,Breckland and South Norfolk,E07000149,South Norfolk,E07000149,South Norfolk,,,,,,,
TLH,East (England),TLH6,Suffolk,TLH61,Babergh and Mid Suffolk,E07000200,Babergh,E07000200,Babergh,,,,,,,
TLH,East (England),TLH6,Suffolk,TLH61,Babergh and Mid Suffolk,E07000203,Mid Suffolk,E07000203,Mid Suffolk,,,,,,,
TLH,East (England),TLH6,Suffolk,TLH62,Ipswich,E07000202,Ipswich,E07000202,Ipswich,,,,,,,
TLH,East (England),TLH6,Suffolk,TLH63,East Suffolk,E07000244,East Suffolk,E07000244,East Suffolk,,,,,,,
TLH,East (England),TLH6,Suffolk,TLH64,West Suffolk,E07000245,West Suffolk,E07000245,West Suffolk,,,,,,,
TLI,London,TLI3,Inner London - West,TLI33,Kensington & Chelsea and Hammersmith & Fulham,E09000013,Hammersmith and Fulham,E09000013,Hammersmith and Fulham,,,,,,,
TLI,London,TLI3,Inner London - West,TLI33,Kensington & Chelsea and Hammersmith & Fulham,E09000020,Kensington and Chelsea,E09000020,Kensington and Chelsea,,,,,,,
TLI,London,TLI3,Inner London - West,TLI34,Wandsworth,E09000032,Wandsworth,E09000032,Wandsworth,,,,,,,
TLI,London,TLI3,Inner London - West,TLI35,Westminster and City of London,E09000001,City of London,E09000001,City of London,,,,,,,
TLI,London,TLI3,Inner London - West,TLI35,Westminster and City of London,E09000033,Westminster,E09000033,Westminster,,,,,,,
TLI,London,TLI3,Inner London - West,TLI36,Camden,E09000007,Camden,E09000007,Camden,,,,,,,
TLI,London,TLI4,Inner London - East,TLI41,Hackney and Newham,E09000012,Hackney,E09000012,Hackney,,,,,,,
TLI,London,TLI4,Inner London - East,TLI41,Hackney and Newham,E09000025,Newham,E09000025,Newham,,,,,,,
TLI,London,TLI4,Inner London - East,TLI42,Tower Hamlets,E09000030,Tower Hamlets,E09000030,Tower Hamlets,,,,,,,
TLI,London,TLI4,Inner London - East,TLI43,Haringey and Islington,E09000014,Haringey,E09000014,Haringey,,,,,,,
TLI,London,TLI4,Inner London - East,TLI43,Haringey and Islington,E09000019,Islington,E09000019,Islington,,,,,,,
TLI,London,TLI4,Inner London - East,TLI44,Lewisham and Southwark,E09000023,Lewisham,E09000023,Lewisham,,,,,,,
TLI,London,TLI4,Inner London - East,TLI44,Lewisham and Southwark,E09000028,Southwark,E09000028,Southwark,,,,,,,
TLI,London,TLI4,Inner London - East,TLI45,Lambeth,E09000022,Lambeth,E09000022,Lambeth,,,,,,,
TLI,London,TLI5,Outer London - East and North East,TLI51,Bexley and Greenwich,E09000004,Bexley,E09000004,Bexley,,,,,,,
TLI,London,TLI5,Outer London - East and North East,TLI51,Bexley and Greenwich,E09000011,Greenwich,E09000011,Greenwich,,,,,,,
TLI,London,TLI5,Outer London - East and North East,TLI52,Barking & Dagenham and Havering,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,,,,,,,
TLI,London,TLI5,Outer London - East and North East,TLI52,Barking & Dagenham and Havering,E09000016,Havering,E09000016,Havering,,,,,,,
TLI,London,TLI5,Outer London - East and North East,TLI53,Redbridge and Waltham Forest,E09000026,Redbridge,E09000026,Redbridge,,,,,,,
TLI,London,TLI5,Outer London - East and North East,TLI53,Redbridge and Waltham Forest,E09000031,Waltham Forest,E09000031,Waltham Forest,,,,,,,
TLI,London,TLI5,Outer London - East and North East,TLI54,Enfield,E09000010,Enfield,E09000010,Enfield,,,,,,,
TLI,London,TLI6,Outer London - South,TLI61,Bromley,E09000006,Bromley,E09000006,Bromley,,,,,,,
TLI,London,TLI6,Outer London - South,TLI62,Croydon,E09000008,Croydon,E09000008,Croydon,,,,,,,
