WDCAS03CD,WDCAS03NM
00AHGJ,Coulsdon East
00AHGK,Coulsdon West
00AHGL,Croham
00AHGM,Fairfield
00AHGN,Fieldway
00AHGP,Heathfield
00AHGQ,Kenley
00AHGR,New Addington
00AHGS,Norbury
00AHGT,Purley
00AHGU,Sanderstead
00AHGW,Selhurst
00AHGX,Selsdon and Ballards
00AHGY,Shirley
00AHGZ,South Norwood
00AHHA,Thornton Heath
00AHHB,Upper Norwood
00AHHC,Waddon
00AHHD,West Thornton
00AHHE,Woodside
00AJGC,Acton Central
00AJGD,Cleveland
00AJGE,Dormers Wells
00AJGF,Ealing Broadway
00AJGG,Ealing Common
00AJGH,East Acton
00AJGJ,Elthorne
00AJGK,Greenford Broadway
00AJGL,Greenford Green
00AJGM,Hanger Hill
00AJGN,Hobbayne
00AJGP,Lady Margaret
00AJGQ,Northfield
00AJGR,North Greenford
00AJGS,Northolt Mandeville
00AJGT,Northolt West End
00AJGU,Norwood Green
00AJGW,Perivale
00AJGX,South Acton
00AJGY,Southall Broadway
00AJGZ,Southall Green
00AJHA,Southfield
00AJHB,Walpole
00AKGL,Bowes
00AKGM,Bush Hill Park
00AKGN,Chase
00AKGP,Cockfosters
00AKGQ,Edmonton Green
00AKGR,Enfield Highway
00AKGS,Enfield Lock
00AKGT,Grange
00AKGU,Haselbury
00AKGW,Highlands
00AKGX,Jubilee
00AKGY,Lower Edmonton
00AKGZ,Palmers Green
00AKHA,Ponders End
00AKHB,Southbury
00AKHC,Southgate
00AKHD,Southgate Green
00AKHE,Town
00AKHF,Turkey Street
00AKHG,Upper Edmonton
00AKHH,Winchmore Hill
00ALGP,Abbey Wood
00ALGQ,Blackheath Westcombe
00ALGR,Charlton
00ALGS,Coldharbour and New Eltham
00ALGT,Eltham North
00ALGU,Eltham South
00ALGW,Eltham West
00ALGX,Glyndon
00ALGY,Greenwich West
00ALGZ,Kidbrooke with Hornfair
00ALHA,Middle Park and Sutcliffe
00ALHB,Peninsula
00ALHC,Plumstead
00ALHD,Shooters Hill
00ALHE,Thamesmead Moorings
00ALHF,Woolwich Common
00ALHG,Woolwich Riverside
00AMGA,Brownswood
00AMGB,Cazenove
00AMGC,Chatham
00AMGD,Clissold
00AMGE,Dalston
00AMGF,De Beauvoir
00AMGG,Hackney Central
00AMGH,Hackney Downs
00AMGJ,Haggerston
00AMGK,Hoxton
00AMGL,King's Park
00AMGM,Leabridge
00AMGN,Lordship
00AMGP,New River
00AMGQ,Queensbridge
00AMGR,Springfield
00AMGS,Stoke Newington Central
00AMGT,Victoria
00AMGU,Wick
00ANGA,Addison
00ANGB,Askew
00ANGC,Avonmore and Brook Green
00ANGD,College Park and Old Oak
00ANGE,Fulham Broadway
00ANGF,Fulham Reach
00ANGG,Hammersmith Broadway
00ANGH,Munster
00ANGJ,North End
00ANGK,Palace Riverside
00ANGL,Parsons Green and Walham
00ANGM,Ravenscourt Park
00ANGN,Sands End
00ANGP,Shepherd's Bush Green
00ANGQ,Town
00ANGR,Wormholt and White City
00APGA,Alexandra
00APGB,Bounds Green
00APGC,Bruce Grove
00APGD,Crouch End
00APGE,Fortis Green
00APGF,Harringay
00APGG,Highgate
00APGH,Hornsey
00APGJ,Muswell Hill
00APGK,Noel Park
00APGL,Northumberland Park
00APGM,St Ann's
00APGN,Seven Sisters
00APGP,Stroud Green
00APGQ,Tottenham Green
00APGR,Tottenham Hale
00APGS,West Green
00APGT,White Hart Lane
00APGU,Woodside
00AQFY,Belmont
00AQFZ,Canons
00AQGA,Edgware
00AQGB,Greenhill
00AQGC,Harrow on the Hill
00AQGD,Harrow Weald
00AQGE,Hatch End
00AQGF,Headstone North
00AQGG,Headstone South
00AQGH,Kenton East
00AQGJ,Kenton West
00AQGK,Marlborough
00AQGL,Pinner
00AQGM,Pinner South
00AQGN,Queensbury
00AQGP,Rayners Lane
00AQGQ,Roxbourne
00AQGR,Roxeth
00AQGS,Stanmore Park
00AQGT,Wealdstone
00AQGU,West Harrow
00ARGC,Brooklands
00ARGD,Cranham
00ARGE,Elm Park
00ARGF,Emerson Park
00ARGG,Gooshays
00ARGH,Hacton
00ARGJ,Harold Wood
00ARGK,Havering Park
00ARGL,Heaton
00ARGM,Hylands
00ARGN,Mawneys
00ARGP,Pettits
00ARGQ,Rainham and Wennington
00ARGR,Romford Town
00ARGS,St Andrew's
00ARGT,South Hornchurch
00ARGU,Squirrel's Heath
00ARGW,Upminster
00ASGG,Barnhill
00ASGH,Botwell
00ASGJ,Brunel
00ASGK,Cavendish
00ASGL,Charville
00ASGM,Eastcote and East Ruislip
00ASGN,Harefield
00ASGP,Heathrow Villages
00ASGQ,Hillingdon East
00ASGR,Ickenham
00ASGS,Manor
00ASGT,Northwood
00ASGU,Northwood Hills
00ASGW,Pinkwell
00ASGX,South Ruislip
00ASGY,Townfield
00ASGZ,Uxbridge North
00ASHA,Uxbridge South
00ASHB,West Drayton
00ASHC,West Ruislip
00ASHD,Yeading
00ASHE,Yiewsley
00ATFY,Bedfont
00ATFZ,Brentford
00ATGA,Chiswick Homefields
00ATGB,Chiswick Riverside
00ATGC,Cranford
00ATGD,Feltham North
00ATGE,Feltham West
00ATGF,Hanworth
00ATGG,Hanworth Park
00ATGH,Heston Central
00ATGJ,Heston East
00ATGK,Heston West
00ATGL,Hounslow Central
00ATGM,Hounslow Heath
00ATGN,Hounslow South
00ATGP,Hounslow West
00ATGQ,Isleworth
00ATGR,Osterley and Spring Grove
00ATGS,Syon
00ATGT,Turnham Green
00AUFX,Barnsbury
00AUFY,Bunhill
00AUFZ,Caledonian
00AUGA,Canonbury
00AUGB,Clerkenwell
00AUGC,Finsbury Park
00AUGD,Highbury East
00AUGE,Highbury West
00AUGF,Hillrise
00AUGG,Holloway
00AUGH,Junction
00AUGJ,Mildmay
00AUGK,St George's
00AUGL,St Mary's
00AUGM,St Peter's
00AUGN,Tollington
00AWFY,Abingdon
00AWFZ,Brompton
00AWGA,Campden
00AWGB,Colville
00AWGC,Courtfield
00AWGD,Cremorne
00AWGE,Earl's Court
00AWGF,Golborne
00AWGG,Hans Town
00AWGH,Holland
00AWGJ,Norland
00AWGK,Notting Barns
00AWGL,Pembridge
00AWGM,Queen's Gate
00AWGN,Redcliffe
00AWGP,Royal Hospital
00AWGQ,St Charles
00AWGR,Stanley
00AXFX,Alexandra
00AXFY,Berrylands
00AXFZ,Beverley
00AXGA,Canbury
00AXGB,Chessington North and Hook
00AXGC,Chessington South
00AXGD,Coombe Hill
00AXGE,Coombe Vale
00AXGF,Grove
00AXGG,Norbiton
00AXGH,Old Malden
00AXGJ,St James
00AXGK,St Mark's
00AXGL,Surbiton Hill
00AXGM,Tolworth and Hook Rise
00AXGN,Tudor
00AYFZ,Bishop's
00AYGA,Brixton Hill
00AYGB,Clapham Common
00AYGC,Clapham Town
00AYGD,Coldharbour
00AYGE,Ferndale
00AYGF,Gipsy Hill
00AYGG,Herne Hill
00AYGH,Knight's Hill
00AYGJ,Larkhall
00AYGK,Oval
00AYGL,Prince's
00AYGM,St Leonard's
00AYGN,Stockwell
00AYGP,Streatham Hill
00AYGQ,Streatham South
00AYGR,Streatham Wells
00AYGS,Thornton
00AYGT,Thurlow Park
00AYGU,Tulse Hill
00AYGW,Vassall
00AZGD,Bellingham
00AZGE,Blackheath
00AZGF,Brockley
00AZGG,Catford South
00AZGH,Crofton Park
00AZGJ,Downham
00AZGK,Evelyn
00AZGL,Forest Hill
00AZGM,Grove Park
00AZGN,Ladywell
00AZGP,Lee Green
00AZGQ,Lewisham Central
00AZGR,New Cross
00AZGS,Perry Vale
00AZGT,Rushey Green
00AZGU,Sydenham
00AZGW,Telegraph Hill
00AZGX,Whitefoot
00BAFX,Abbey
00BAFY,Cannon Hill
00BAFZ,Colliers Wood
00BAGA,Cricket Green
00BAGB,Dundonald
00BAGC,Figge's Marsh
00BAGD,Graveney
00BAGE,Hillside
00BAGF,Lavender Fields
00BAGG,Longthornton
00BAGH,Lower Morden
00BAGJ,Merton Park
00BAGK,Pollards Hill
00BAGL,Ravensbury
00BAGM,Raynes Park
00BAGN,St Helier
00BAGP,Trinity
00BAGQ,Village
00BAGR,West Barnes
00BAGS,Wimbledon Park
00BBGB,Beckton
00BBGC,Boleyn
00BBGD,Canning Town North
00BBGE,Canning Town South
00BBGF,Custom House
00BBGG,East Ham Central
00BBGH,East Ham North
00BBGJ,East Ham South
00BBGK,Forest Gate North
00BBGL,Forest Gate South
00BBGM,Green Street East
00BBGN,Green Street West
00BBGP,Little Ilford
00BBGQ,Manor Park
00BBGR,Plaistow North
00BBGS,Plaistow South
00BBGT,Royal Docks
00BBGU,Stratford and New Town
00BBGW,Wall End
00BBGX,West Ham
00BCFY,Aldborough
00BCFZ,Barkingside
00BCGA,Bridge
00BCGB,Chadwell
00BCGC,Church End
00BCGD,Clayhall
00BCGE,Clementswood
00BCGF,Cranbrook
00BCGG,Fairlop
00BCGH,Fullwell
00BCGJ,Goodmayes
00BCGK,Hainault
00BCGL,Loxford
00BCGM,Mayfield
00BCGN,Monkhams
00BCGP,Newbury
00BCGQ,Roding
00BCGR,Seven Kings
00BCGS,Snaresbrook
00BCGT,Valentines
00BCGU,Wanstead
00BDFW,Barnes
00BDFX,East Sheen
00BDFY,Fulwell and Hampton Hill
00BDFZ,"Ham, Petersham and Richmond Riverside"
00BDGA,Hampton
00BDGB,Hampton North
00BDGC,Hampton Wick
00BDGD,Heathfield
00BDGE,Kew
00BDGF,Mortlake and Barnes Common
00BDGG,North Richmond
00BDGH,St Margarets and North Twickenham
00BDGJ,South Richmond
00BDGK,South Twickenham
00BDGL,Teddington
00BDGM,Twickenham Riverside
00BDGN,West Twickenham
00BDGP,Whitton
00BEGC,Brunswick Park
00BEGD,Camberwell Green
00BEGE,Cathedrals
00BEGF,Chaucer
00BEGG,College
00BEGH,East Dulwich
00BEGJ,East Walworth
00BEGK,Faraday
00BEGL,Grange
00BEGM,Livesey
00BEGN,Newington
00BEGP,Nunhead
00BEGQ,Peckham
00BEGR,Peckham Rye
00BEGS,Riverside
00BEGT,Rotherhithe
00BEGU,South Bermondsey
00BEGW,South Camberwell
00BEGX,Surrey Docks
00BEGY,The Lane
00BEGZ,Village
00BFGC,Beddington North
00BFGD,Beddington South
00BFGE,Belmont
00BFGF,Carshalton Central
00BFGG,Carshalton South and Clockhouse
00BFGH,Cheam
00BFGJ,Nonsuch
00BFGK,St Helier
00BFGL,Stonecot
00BFGM,Sutton Central
00BFGN,Sutton North
00BFGP,Sutton South
00BFGQ,Sutton West
00BFGR,The Wrythe
00BFGS,Wallington North
00BFGT,Wallington South
00BFGU,Wandle Valley
00BFGW,Worcester Park
00BGFW,Bethnal Green North
00BGFX,Bethnal Green South
00BGFY,Blackwall and Cubitt Town
00BGFZ,Bow East
00BGGA,Bow West
00BGGB,Bromley-by-Bow
00BGGC,East India and Lansbury
00BGGD,Limehouse
00BGGE,Mile End and Globe Town
00BGGF,Mile End East
00BGGG,Millwall
00BGGH,St Dunstan's and Stepney Green
00BGGJ,St Katharine's and Wapping
00BGGK,Shadwell
00BGGL,Spitalfields and Banglatown
00BGGM,Weavers
00BGGN,Whitechapel
00BHFX,Cann Hall
00BHFY,Cathall
00BHFZ,Chapel End
00BHGA,Chingford Green
00BHGB,Endlebury
00BHGC,Forest
00BHGD,Grove Green
00BHGE,Hale End and Highams Park
00BHGF,Hatch Lane
00BHGG,High Street
00BHGH,Higham Hill
00BHGJ,Hoe Street
00BHGK,Larkswood
00BHGL,Lea Bridge
00BHGM,Leyton
00BHGN,Leytonstone
00BHGP,Markhouse
00BHGQ,Valley
00BHGR,William Morris
00BHGS,Wood Street
00BJFZ,Balham
00BJGA,Bedford
00BJGB,Earlsfield
00BJGC,East Putney
00BJGD,Fairfield
00BJGE,Furzedown
00BJGF,Graveney
00BJGG,Latchmere
00BJGH,Nightingale
00BJGJ,Northcote
00BJGK,Queenstown
00BJGL,Roehampton
00BJGM,St Mary's Park
00BJGN,Shaftesbury
00BJGP,Southfields
00BJGQ,Thamesfield
00BJGR,Tooting
00BJGS,Wandsworth Common
00BJGT,West Hill
00BJGU,West Putney
00BKGA,Abbey Road
00BKGB,Bayswater
00BKGC,Bryanston and Dorset Square
00BKGD,Churchill
00BKGE,Church Street
00BKGF,Harrow Road
00BKGG,Hyde Park
00BKGH,Knightsbridge and Belgravia
00BKGJ,Lancaster Gate
00BKGK,Little Venice
00BKGL,Maida Vale
00BKGM,Marylebone High Street
00BKGN,Queen's Park
00BKGP,Regent's Park
00BKGQ,St James's
00BKGR,Tachbrook
00BKGS,Vincent Square
00BKGT,Warwick
00BKGU,Westbourne
00BKGW,West End
00BLFA,Astley Bridge
00BLFB,Blackrod
00BLFC,Bradshaw
00BLFD,Breightmet
00BLFE,Bromley Cross
00BLFF,Burnden
00BLFG,Central
00BLFH,Daubhill
00BLFJ,Deane-Cum-Heaton
00BLFK,Derby
00BLFL,Farnworth
00BLFM,Halliwell
00BLFN,Harper Green
00BLFP,Horwich
00BLFQ,Hulton Park
00BLFR,Kearsley
00BLFS,Little Lever
00BLFT,Smithills
00BLFU,Tonge
00BLFW,Westhoughton
00BMFA,Besses
00BMFB,Church
00BMFC,East
00BMFD,Elton
00BMFE,Holyrood
00BMFF,Moorside
00BMFG,Pilkington Park
00BMFH,Radcliffe Central
00BMFJ,Radcliffe North
00BMFK,Radcliffe South
00BMFL,Ramsbottom
00BMFM,Redvales
00BMFN,St. Mary's
00BMFP,Sedgley
00BMFQ,Tottington
00BMFR,Unsworth
00BNFA,Ardwick
00BNFB,Baguley
00BNFC,Barlow Moor
00BNFD,Benchill
00BNFE,Beswick and Clayton
00BNFF,Blackley
00BNFG,Bradford
00BNFH,Brooklands
00BNFJ,Burnage
00BNFK,Central
00BNFL,Charlestown
00BNFM,Cheetham
00BNFN,Chorlton
00BNFP,Crumpsall
00BNFQ,Didsbury
00BNFR,Fallowfield
00BNFS,Gorton North
00BNFT,Gorton South
00BNFU,Harpurhey
00BNFW,Hulme
00BNFX,Levenshulme
00BNFY,Lightbowne
00BNFZ,Longsight
00BNGA,Moss Side
00BNGB,Moston
00BNGC,Newton Heath
00BNGD,Northenden
00BNGE,Old Moat
00BNGF,Rusholme
00BNGG,Sharston
00BNGH,Whalley Range
00BNGJ,Withington
00BNGK,Woodhouse Park
00BPFA,Alexandra
00BPFB,Chadderton Central
00BPFC,Chadderton North
00BPFD,Chadderton South
00BPFE,Coldhurst
00BPFF,Crompton
00BPFG,Failsworth East
00BPFH,Failsworth West
00BPFJ,Hollinwood
00BPFK,Lees
00BPFL,Royton North
00BPFM,Royton South
00BPFN,Saddleworth East
00BPFP,Saddleworth West
00BPFQ,St. James
00BPFR,St. Marys
00BPFS,St. Pauls
00BPFT,Shaw
00BPFU,Waterhead
00BPFW,Werneth
00BQFA,Balderstone
00BQFB,Brimrod and Deeplish
00BQFC,Castleton
00BQFD,Central and Falinge
00BQFE,Healey
00BQFF,Heywood North
00BQFG,Heywood South
00BQFH,Heywood West
00BQFJ,Littleborough
00BQFK,Middleton Central
00BQFL,Middleton East
00BQFM,Middleton North
00BQFN,Middleton South
00BQFP,Middleton West
00BQFQ,Milnrow
00BQFR,Newbold
00BQFS,Norden and Bamford
00BQFT,Smallbridge and Wardleworth
00BQFU,Spotland
00BQFW,Wardle
00BRFA,Barton
00BRFB,Blackfriars
00BRFC,Broughton
00BRFD,Cadishead
00BRFE,Claremont
00BRFF,Eccles
00BRFG,Irlam
00BRFH,Kersal
00BRFJ,Langworthy
00BRFK,Little Hulton
00BRFL,Ordsall
00BRFM,Pendlebury
00BRFN,Pendleton
00BRFP,Swinton North
00BRFQ,Swinton South
00BRFR,Walkden North
00BRFS,Walkden South
00BRFT,Weaste and Seedley
00BRFU,Winton
00BRFW,Worsley and Boothstown
00BSFA,Bredbury
00BSFB,Brinnington
00BSFC,Cale Green
00BSFD,Cheadle
00BSFE,Cheadle Hulme North
00BSFF,Cheadle Hulme South
00BSFG,Davenport
00BSFH,East Bramhall
00BSFJ,Edgeley
00BSFK,Great Moor
00BSFL,Hazel Grove
00BSFM,Heald Green
00BSFN,Heaton Mersey
00BSFP,Heaton Moor
00BSFQ,Manor
00BSFR,North Marple
00BSFS,North Reddish
00BSFT,Romiley
00BSFU,South Marple
00BSFW,South Reddish
00BSFX,West Bramhall
00BTFA,Ashton Hurst
00BTFB,Ashton St. Michael's
00BTFC,Ashton St. Peters'
00BTFD,Ashton Waterloo
00BTFE,Audenshaw
00BTFF,Denton North East
00BTFG,Denton South
00BTFH,Denton West
00BTFJ,Droylsden East
00BTFK,Droylsden West
00BTFL,Dukinfield
00BTFM,Dukinfield Stalybridge
00BTFN,Hyde Godley
00BTFP,Hyde Newton
00BTFQ,Hyde Werneth
00BTFR,Longdendale
00BTFS,Mossley
00BTFT,Stalybridge North
00BTFU,Stalybridge South
00BUFA,Altrincham
00BUFB,Bowdon
00BUFC,Broadheath
00BUFD,Brooklands
00BUFE,Bucklow
00BUFF,Clifford
00BUFG,Davyhulme East
00BUFH,Davyhulme West
00BUFJ,Flixton
00BUFK,Hale
00BUFL,Longford
00BUFM,Mersey St. Mary's
00BUFN,Park
00BUFP,Priory
00BUFQ,St. Martin's
00BUFR,Sale Moor
00BUFS,Stretford
00BUFT,Talbot
00BUFU,Timperley
00BUFW,Urmston
00BUFX,Village
00BWFA,Abram
00BWFB,Ashton-Golborne
00BWFC,Aspull-Standish
00BWFD,Atherton
00BWFE,Bedford-Astley
00BWFF,Beech Hill
00BWFG,Bryn
00BWFH,Hindley
00BWFJ,Hindley Green
00BWFK,Hindsford
00BWFL,Hope Carr
00BWFM,Ince
00BWFN,Langtree
00BWFP,Leigh Central
00BWFQ,Leigh East
00BWFR,Lightshaw
00BWFS,Newtown
00BWFT,Norley
00BWFU,Orrell
00BWFW,Swinley
00BWFX,Tyldesley East
00BWFY,Whelley
00BWFZ,Winstanley
00BWGA,Worsley Mesnes
00BXFA,Cantril Farm
00BXFB,Cherryfield
00BXFC,Halewood East
00BXFD,Halewood South
00BXFE,Halewood West
00BXFF,Kirkby Central
00BXFG,Knowsley Park
00BXFH,Longview
00BXFJ,Northwood
00BXFK,Page Moss
00BXFL,Park
00BXFM,Prescot East
00BXFN,Prescot West
00BXFP,Princess
00BXFQ,Roby
00BXFR,St. Gabriels
00BXFS,St. Michaels
00BXFT,Swanside
00BXFU,Tower Hill
00BXFW,Whiston North
00BXFX,Whiston South
00BXFY,Whitefield
00BYFA,Abercromby
00BYFB,Aigburth
00BYFC,Allerton
00BYFD,Anfield
00BYFE,Arundel
00BYFF,Breckfield
00BYFG,Broadgreen
00BYFH,Childwall
00BYFJ,Church
00BYFK,Clubmoor
00BYFL,County
00BYFM,Croxteth
00BYFN,Dingle
00BYFP,Dovecot
00BYFQ,Everton
00BYFR,Fazakerley
00BYFS,Gillmoss
00BYFT,Granby
00BYFU,Grassendale
00BYFW,Kensington
00BYFX,Melrose
00BYFY,Netherley
00BYFZ,Old Swan
00BYGA,Picton
00BYGB,Pirrie
00BYGC,St. Mary's
00BYGD,Smithdown
00BYGE,Speke
00BYGF,Tuebrook
00BYGG,Valley
00BYGH,Vauxhall
00BYGJ,Warbreck
00BYGK,Woolton
00BZFA,Billinge and Seneley Green
00BZFB,Blackbrook
00BZFC,Broad Oak
00BZFD,Eccleston
00BZFE,Grange Park
00BZFF,Haydock
00BZFG,Marshalls Cross
00BZFH,Moss Bank
00BZFJ,Newton East
00BZFK,Newton West
00BZFL,Parr and Hardshaw
00BZFM,Queen's Park
00BZFN,Rainford
00BZFP,Rainhill
00BZFQ,Sutton and Bold
00BZFR,Thatto Heath
00BZFS,West Sutton
00BZFT,Windle
00CAGA,Ainsdale
00CAGB,Birkdale
00CAGC,Blundellsands
00CAGD,Cambridge
00CAGE,Church
00CAGF,Derby
00CAGG,Dukes
00CAGH,Ford
00CAGJ,Harington
00CAGK,Kew
00CAGL,Linacre
00CAGM,Litherland
00CAGN,Manor
00CAGP,Meols
00CAGQ,Molyneux
00CAGR,Netherton and Orrell
00CAGS,Norwood
00CAGT,Park
00CAGU,Ravenmeols
00CAGW,St Oswald
00CAGX,Sudell
00CAGY,Victoria
00CBFA,Bebington
00CBFB,Bidston
00CBFC,Birkenhead
00CBFD,Bromborough
00CBFE,Clatterbridge
00CBFF,Claughton
00CBFG,Eastham
00CBFH,Egerton
00CBFJ,Heswall
00CBFK,Hoylake
00CBFL,Leasowe
00CBFM,Liscard
00CBFN,Moreton
00CBFP,New Brighton
00CBFQ,Oxton
00CBFR,Prenton
00CBFS,Royden
00CBFT,Seacombe
00CBFU,Thurstaston
00CBFW,Tranmere
00CBFX,Upton
00CBFY,Wallasey
00CCFA,Ardsley
00CCFB,Athersley
00CCFC,Brierley
00CCFD,Central
00CCFE,Cudworth
00CCFF,Darfield
00CCFG,Darton
00CCFH,Dearne South
00CCFJ,Dearne Thurnscoe
00CCFK,Dodworth
00CCFL,Hoyland East
00CCFM,Hoyland West
00CCFN,Monk Bretton
00CCFP,North West
00CCFQ,Park
00CCFR,Penistone East
00CCFS,Penistone West
00CCFT,Royston
00CCFU,South West
00CCFW,Wombwell North
00CCFX,Wombwell South
00CCFY,Worsbrough
00CEFA,Adwick
00CEFB,Armthorpe
00CEFC,Askern
00CEFD,Balby
00CEFE,Bentley Central
00CEFF,Bentley North Road
00CEFG,Bessacarr
00CEFH,Central
00CEFJ,Conisbrough
00CEFK,Edlington and Warmsworth
00CEFL,Hatfield
00CEFM,Intake
00CEFN,Mexborough
00CEFP,Richmond
00CEFQ,Rossington
00CEFR,South East
00CEFS,Southern Parks
00CEFT,Stainforth
00CEFU,Thorne
00CEFW,Town Field
00CEFX,Wheatley
00CFFA,Anston and Woodsetts
00CFFB,"Aston, Orgreave and Ulley"
00CFFC,Boston
00CFFD,"Bramley, Ravenfield and Wickersley"
00CFFE,"Brampton, Melton and Wentworth"
00CFFF,"Brinsworth, Catcliffe and Treeton"
00CFFG,Broom
00CFFH,Central
00CFFJ,"Dalton, Hooton Roberts and Thrybergh"
00CFFK,Greasbrough
00CFFL,Herringthorpe
00CFFM,Kimberworth
00CFFN,Kiveton Park
00CFFP,Maltby
00CFFQ,Park
00CFFR,Rawmarsh East
00CFFS,Rawmarsh West
00CFFT,St. John's
00CFFU,Swinton
00CFFW,Thorpe Hesley
00CFFX,Thurcroft and Whiston
00CFFY,Wath
00CGFA,Beauchief
00CGFB,Birley
00CGFC,Brightside
00CGFD,Broomhill
00CGFE,Burngreave
00CGFF,Castle
00CGFG,Chapel Green
00CGFH,Darnall
00CGFJ,Dore
00CGFK,Ecclesall
00CGFL,Firth Park
00CGFM,Hallam
00CGFN,Handsworth
00CGFP,Heeley
00CGFQ,Hillsborough
00CGFR,Intake
00CGFS,Manor
00CGFT,Mosborough
00CGFU,Nether Edge
00CGFW,Nether Shire
00CGFX,Netherthorpe
00CGFY,Norton
00CGFZ,Owlerton
00CGGA,Park
00CGGB,Sharrow
00CGGC,Southey Green
00CGGD,South Wortley
00CGGE,Stocksbridge
00CGGF,Walkley
00CHFA,Bede
00CHFB,Bensham
00CHFC,Birtley
00CHFD,Blaydon
00CHFE,Chopwell and Rowlands Gill
00CHFF,Chowdene
00CHFG,Crawcrook and Greenside
00CHFH,Deckham
00CHFJ,Dunston
00CHFK,Felling
00CHFL,High Fell
00CHFM,Lamesley
00CHFN,Leam
00CHFP,Low Fell
00CHFQ,Pelaw and Heworth
00CHFR,Ryton
00CHFS,Saltwell
00CHFT,Teams
00CHFU,Whickham North
00CHFW,Whickham South
00CHFX,Winlaton
00CHFY,Wrekendyke
00CJFA,Benwell
00CJFB,Blakelaw
00CJFC,Byker
00CJFD,Castle
00CJFE,Dene
00CJFF,Denton
00CJFG,Elswick
00CJFH,Fawdon
00CJFJ,Fenham
00CJFK,Grange
00CJFL,Heaton
00CJFM,Jesmond
00CJFN,Kenton
00CJFP,Lemington
00CJFQ,Monkchester
00CJFR,Moorside
00CJFS,Newburn
00CJFT,Sandyford
00CJFU,Scotswood
00CJFW,South Gosforth
00CJFX,Walker
00CJFY,Walkergate
00CJFZ,West City
00CJGA,Westerhope
00CJGB,Wingrove
00CJGC,Woolsington
00CKFA,Battle Hill
00CKFB,Benton
00CKFC,Camperdown
